r\IA,0,1,2,3,4,5,6,7,8,9,10
200,,,,,,10,10,11,12,13,20
199,,,,,,10,10,11,12,13,20
198,,,,,9,10,10,11,12,13,20
197,,,,,9,10,10,11,12,13,20
196,,,,,9,10,10,11,12,13,19
195,,,,,9,10,10,11,12,13,19
194,,,,,9,9,10,11,12,13,19
193,,,,,9,9,10,11,12,13,19
192,,,,,9,9,10,11,12,13,19
191,,,,,9,9,10,11,11,13,19
190,,,,,9,9,10,11,11,13,16
189,,,,,9,9,10,10,11,13,16
188,,,,,9,9,10,10,11,13,16
187,,,,,9,9,10,10,11,13,16
186,,,,,9,9,10,10,11,12,16
185,,,,,9,9,10,10,11,12,16
184,,,,,,9,9,10,11,12,16
183,,,,,,9,9,10,11,12,16
182,,,,,,9,9,10,11,12,15
181,,,,,,9,9,10,11,12,15
180,,,,,,9,9,10,11,12,15
179,,,,,8,9,9,10,11,12,15
178,,,,,8,9,9,10,11,12,15
177,,,,,8,9,9,10,11,12,15
176,,,,,8,9,9,10,11,12,15
175,,,,,8,8,9,10,11,12,15
174,,,,,8,8,9,10,11,12,15
173,,,,,8,8,9,10,10,12,15
172,,,,,8,8,9,10,10,12,15
171,,,,,8,8,9,9,10,12,14
170,,,,,8,8,9,9,10,11,14
169,,,,,8,8,9,9,10,11,14
168,,,,,8,8,9,9,10,11,14
167,,,,,8,8,9,9,10,11,14
166,,,,,8,8,9,9,10,11,14
165,,,,,8,8,8,9,10,11,14
164,,,,,8,8,8,9,10,11,14
163,,,,,8,8,8,9,10,11,14
162,,,,,,8,8,9,10,11,14
161,,,,,7,8,8,9,10,11,14
160,,,,,7,8,8,9,10,11,14
159,,,,,7,8,8,9,10,11,13
158,,,,,7,8,8,9,10,11,13
157,,,,,7,8,8,9,9,11,13
156,,,,,7,7,8,9,9,11,13
155,,,,,7,7,8,9,9,10,13
154,,,,,7,7,8,9,9,10,13
153,,,,,7,7,8,8,9,10,13
152,,,,,7,7,8,8,9,10,13
151,,,,,7,7,8,8,9,10,13
150,,,,,7,7,8,8,9,10,13
149,,,,,7,7,8,8,9,10,13
148,,,,,7,7,8,8,9,10,13
147,,,,,7,7,8,8,9,10,12
146,,,,,7,7,8,8,9,10,12
145,,,,,7,7,7,8,9,10,12
144,,,,,7,7,7,8,9,10,12
143,,,,,7,7,7,8,9,10,12
142,,,,,7,7,7,8,9,10,12
141,,,,,6,7,7,8,9,10,12
140,,,,,6,7,7,8,9,10,12
139,,,,,6,7,7,8,8,10,12
138,,,,,6,7,7,8,8,9,12
137,,,,,6,7,7,8,8,9,12
136,,,,,6,7,7,8,8,9,12
135,,,,,6,6,7,7,8,9,12
134,,,,,6,6,7,7,8,9,12
133,,,,,6,6,7,7,8,9,11
132,,,,,6,6,7,7,8,9,11
131,,,,,6,6,7,7,8,9,11
130,,,,,6,6,7,7,8,9,11
129,,,,,6,6,7,7,8,9,11
128,,,,,6,6,7,7,8,9,11
127,,,,,6,6,7,7,8,9,11
126,,,,,6,6,6,7,8,9,11
125,,,,,6,6,6,7,8,9,11
124,,,,,6,6,6,7,8,9,11
123,,,,,6,6,6,7,7,8,11
122,,,,,6,6,6,7,7,8,11
121,,,,,6,6,6,7,7,8,11
120,,,,,5,6,6,7,7,8,11
119,,,,,5,6,6,7,7,8,11
118,,,,,5,6,6,7,7,8,11
117,,,,,5,6,6,7,7,8,10
116,,,,,5,6,6,6,7,8,10
115,,,,,5,6,6,6,7,8,10
114,,,,,5,6,6,6,7,8,10
113,,,,,5,5,6,6,7,8,10
112,,,,,5,5,6,6,7,8,10
111,,,,,5,5,6,6,7,8,10
110,,,,,5,5,6,6,7,8,10
109,,,,,5,5,6,6,7,8,10
108,,,,,5,5,6,6,7,7,10
107,,,,,5,5,6,6,7,7,10
106,,,,,5,5,6,6,7,7,10
105,,,,,5,5,5,6,6,7,9
104,,,,,5,5,5,6,6,7,9
103,,,,,5,5,5,6,6,7,9
102,,,,,5,5,5,6,6,7,9
101,,,,,5,5,5,6,6,7,9
100,,,,,5,5,5,6,6,7,9
99,,,,,5,5,5,6,6,7,9
98,,,,,5,5,5,6,6,7,9
97,,,,,5,5,5,5,6,7,9
96,,,,,5,5,5,5,6,7,9
95,,,,,5,5,5,5,6,7,9
94,,,,,4,5,5,5,6,7,9
93,,,,,4,5,5,5,6,7,8
92,,,,,4,5,5,5,6,6,8
91,,,,,4,5,5,5,6,6,8
90,,,,,4,5,5,5,6,6,8
89,,,,,4,4,5,5,6,6,8
88,,,,,4,4,5,5,5,6,8
87,,,,,4,4,5,5,5,6,8
86,,,,,4,4,5,5,5,6,8
85,,,,,4,4,5,5,5,6,8
84,,,,,4,4,5,5,5,6,8
83,,,,,4,4,4,5,5,6,8
82,,,,,4,4,4,5,5,6,7
81,,,,,4,4,4,5,5,6,7
80,,,,,4,4,4,5,5,6,7
79,,,,,4,4,4,5,5,6,7
78,,,,,4,4,4,5,5,5,7
77,,,,,4,4,4,4,5,5,7
76,,,,,4,4,4,4,5,5,7
75,,,,,4,4,4,4,5,5,7
74,,,,,4,4,4,4,5,5,7
73,,,,,4,4,4,4,5,5,7
72,,,,,4,4,4,4,5,5,7
71,,,,,4,4,4,4,4,5,6
70,,,,,4,4,4,4,4,5,6
69,,,,,4,4,4,4,4,5,6
68,,,,,4,4,4,4,4,5,6
67,,,,,4,4,4,4,4,5,6
66,,,,,4,4,4,4,4,5,6
65,,,,,4,4,4,4,4,5,6
64,,,,,4,4,4,4,4,5,6
63,,,,,4,4,4,4,4,4,6
62,,,,,4,4,4,4,4,4,6
61,,,,3,3,4,4,4,4,4,5
60,,,,3,3,3,4,4,4,4,5
59,,,,3,3,3,3,4,4,4,5
58,,,,3,3,3,3,4,4,4,5
57,,,,3,3,3,3,4,4,4,5
56,,,,3,3,3,3,3,4,4,5
55,,,,3,3,3,3,3,4,4,5
54,,,,3,3,3,3,3,4,4,5
53,,,,3,3,3,3,3,4,4,5
52,,,,3,3,3,3,3,3,4,5
51,,,,3,3,3,3,3,3,4,5
50,,,,3,3,3,3,3,3,4,4
49,,,,3,3,3,3,3,3,4,4
48,,,,3,3,3,3,3,3,4,4
47,,,,3,3,3,3,3,3,3,4
46,,,,3,3,3,3,3,3,3,4
45,,,,3,3,3,3,3,3,3,4
44,,,,3,3,3,3,3,3,3,4
43,,,,3,3,3,3,3,3,3,4
42,,,,3,3,3,3,3,3,3,4
41,,,,3,3,3,3,3,3,3,4
40,,,,3,3,3,3,3,3,3,4
39,,,,3,3,3,3,3,3,3,3
38,,,,3,3,3,3,3,3,3,3
37,,,,3,3,3,3,3,3,3,3
36,,,,3,3,3,3,3,3,3,3
35,,,,3,3,3,3,3,3,3,3
34,,,,3,3,3,3,3,3,3,3
33,,,,3,3,3,3,3,3,3,3
32,,,,3,3,3,3,3,3,3,3
31,,,,3,3,3,3,3,3,3,3
30,,,,3,3,3,2,2,2,3,3
29,,,,3,3,3,2,2,2,3,3
28,,,,3,3,2,2,2,2,3,3
27,,,,3,3,2,2,2,2,2,3
26,,,,3,3,2,2,2,2,2,3
25,,,,3,3,2,2,2,2,2,3
24,,,,3,3,2,2,2,2,2,3
23,,,,3,3,3,2,2,2,2,3
22,,,,3,3,3,2,2,2,2,3
21,,,,3,3,3,2,2,2,2,3
20,,,,3,3,3,3,2,2,2,3
19,,,,3,3,3,3,3,2,2,3
18,,,,3,3,3,3,3,3,3,3
17,,,,3,3,3,3,3,3,3,3
16,,,,3,3,3,3,3,3,3,3
15,,,,3,3,3,3,3,3,3,3
14,,,,3,3,3,3,3,3,3,3
13,,,,3,3,3,3,3,3,3,3
12,,,,3,3,3,3,3,3,3,3
11,,,,3,3,3,3,3,3,3,3
10,,,,3,3,3,3,3,3,3,3
9,,,,3,4,4,3,3,3,3,3
8,,,,3,4,4,4,4,4,4,4
7,,,,3,4,4,4,4,4,4,4
6,,,,3,4,4,4,4,4,4,4
5,,,,3,4,4,4,4,4,4,4
4,,,,3,4,4,4,4,4,4,4
3,,,,3,4,4,4,4,4,4,4
2,,,,,4,4,4,4,4,4,4
1,,1,2,3,4,4,4,4,4,4,4

