r,tau,margin=(pA-pB)*tau-cu,total_states,feasible_states,in_region_feasible,qpos_states,match_fullclear
100,2.0,19.0,451,200,200,95,95
99,1.98,18.8,451,200,200,95,95
98,1.96,18.6,451,200,200,96,96
97,1.94,18.4,451,200,200,97,97
96,1.92,18.2,451,200,200,97,97
95,1.9000000000000001,18.0,451,200,200,98,98
94,1.8800000000000001,17.8,451,200,200,99,99
93,1.86,17.6,451,200,200,99,99
92,1.84,17.400000000000002,451,200,200,101,101
91,1.82,17.2,451,200,200,102,102
90,1.8,17.0,451,200,200,102,102
89,1.78,16.8,451,200,200,101,101
88,1.76,16.6,451,200,200,102,102
87,1.74,16.4,451,200,200,103,103
86,1.72,16.2,451,200,200,102,102
85,1.7,16.0,451,200,200,102,102
84,1.68,15.8,451,200,200,103,103
83,1.6600000000000001,15.600000000000001,451,200,200,103,103
82,1.6400000000000001,15.400000000000002,451,200,200,103,103
81,1.62,15.200000000000003,451,200,200,103,103
80,1.6,15.0,451,200,200,105,105
79,1.58,14.8,451,200,200,105,105
78,1.56,14.600000000000001,451,200,200,105,105
77,1.54,14.4,451,200,200,106,106
76,1.52,14.2,451,200,200,106,106
75,1.5,14.0,451,200,200,107,107
74,1.48,13.8,451,200,200,107,107
73,1.46,13.6,451,200,200,108,108
72,1.44,13.399999999999999,451,200,200,109,109
71,1.42,13.2,451,200,200,109,109
70,1.4000000000000001,13.000000000000002,451,200,200,109,109
69,1.3800000000000001,12.8,451,200,200,109,109
68,1.36,12.600000000000001,451,200,200,110,110
67,1.34,12.4,451,200,200,111,111
66,1.32,12.200000000000001,451,200,200,112,112
65,1.3,12.0,451,200,200,112,112
64,1.28,11.8,451,200,200,113,113
63,1.26,11.6,451,200,200,114,114
62,1.24,11.4,451,200,200,115,115
61,1.22,11.2,451,200,200,115,115
60,1.2,11.0,451,200,200,115,115
59,1.18,10.799999999999999,451,200,200,115,115
58,1.16,10.6,451,200,200,115,115
57,1.1400000000000001,10.400000000000002,451,200,200,115,115
56,1.12,10.200000000000001,451,200,200,116,116
55,1.1,10.0,451,200,200,117,117
54,1.08,9.8,451,200,200,118,118
53,1.06,9.600000000000001,451,200,200,119,119
52,1.04,9.4,451,200,200,119,119
51,1.02,9.2,451,200,200,120,120
50,1.0,9.0,451,200,200,120,120
49,0.98,8.8,451,200,200,120,120
48,0.96,8.6,451,200,200,120,120
47,0.9400000000000001,8.4,451,200,200,121,121
46,0.92,8.200000000000001,451,200,200,121,121
45,0.9,8.0,451,200,200,122,122
44,0.88,7.800000000000001,451,200,200,122,122
43,0.86,7.6,451,200,200,123,123
42,0.84,7.4,451,200,200,123,123
41,0.8200000000000001,7.200000000000001,451,200,200,124,124
40,0.8,7.0,451,200,200,124,124
39,0.78,6.800000000000001,451,200,200,125,125
38,0.76,6.6,451,200,200,125,125
37,0.74,6.4,451,200,200,126,126
36,0.72,6.199999999999999,451,200,200,127,127
35,0.7000000000000001,6.000000000000001,451,200,200,127,127
34,0.68,5.800000000000001,451,200,200,127,127
33,0.66,5.6000000000000005,451,200,200,127,127
32,0.64,5.4,451,200,200,129,129
31,0.62,5.2,451,200,200,130,130
30,0.6,5.0,451,200,200,130,130
29,0.58,4.8,451,200,200,130,130
28,0.56,4.6000000000000005,451,200,200,129,129
27,0.54,4.4,451,200,200,130,130
26,0.52,4.2,451,200,200,130,130
25,0.5,4.0,451,200,200,130,130
24,0.48,3.8,451,200,200,130,130
23,0.46,3.6000000000000005,451,200,200,132,132
22,0.44,3.4000000000000004,451,200,200,132,132
21,0.42,3.2,451,200,200,132,132
20,0.4,3.0,451,200,200,132,132
19,0.38,2.8,451,200,200,132,132
18,0.36,2.5999999999999996,451,200,200,132,132
17,0.34,2.4000000000000004,451,200,200,132,132
16,0.32,2.2,451,200,200,132,132
15,0.3,2.0,451,200,200,132,132
14,0.28,1.8000000000000003,451,200,200,133,133
13,0.26,1.6,451,200,200,131,131
12,0.24,1.4,451,200,200,120,120
11,0.22,1.2000000000000002,451,200,200,119,119
10,0.2,1.0,451,200,200,119,119
9,0.18,0.7999999999999998,451,200,200,118,118
8,0.16,0.6000000000000001,451,200,200,104,104
7,0.14,0.40000000000000013,451,200,200,101,101
6,0.12,0.19999999999999996,451,200,200,95,95
5,0.1,0.0,451,200,0,83,0
4,0.08,-0.19999999999999996,451,200,0,83,0
3,0.06,-0.4,451,200,0,64,0
2,0.04,-0.6,451,200,0,63,0
1,0.02,-0.8,451,200,0,175,0

SUMMARY,,,45100,20000,19000,11447,10979
